HolderAddress,Balance
0xD9Ba5c0a4162246Fa0E7537245Ee318591379B02,8.0
0xcf576C1d6b7a7EE9Ae3A9A235DFa9De0d4B5bfB4,8.0
0xc93678EC2b974a7aE280341cEFeb85984a29FFF7,8.0
0xC30f50fd74259B9ef1eDB705244e737f5A39d3AB,8.0
0xBf893782ac8681f9fcBcD45C29f0B8e7f5cC2130,8.0
0xbAf3aD6542f932cC0E0b54983e82E0cFb7c5a5a1,8.0
0xA9E301f32713F28D658E24203b3C453753712500,8.0
0xa5437c9d2f62F79AE22B1DbD0a735feec7CEF6A7,8.0
0xA4341049A1519b5A080f626506A0870f79ccfC0d,8.0
0xa0B4D4f530C77D05f6071d1CAD416Ce0e48669B6,8.0
0x82dcba7a8bF3AA462040038eCB3d5d90901676E8,8.0
0x7a44a31423A2eb681d9f5cCD918Acb0879578901,8.0
0x76395150eFf1e8Bba213d9A467AD251981Efe61F,8.0
0x76041C1eCcE8D9c8BBA3F14901032f64c2D482cE,8.0
0x69252D3FA5E80C1639B57a1702d85Fb82628580A,8.0
0x5D98609F4a43ED4d36DAe38A58365B352109C7a6,8.0
0x55F5429343891f0a2b2A8da63a48E82DA8D9f2F6,8.0
0x41F23deb11ddf9578Bd9C46a45f0BCc9cc808f95,8.0
0x3865c5BBfF78C6AAcc64F0cC0E45C40e231Ef703,8.0
0x38484953b0adaeB3b5Fe20C1722b1f8E1E069Aa9,8.0
0x2Db32135a8dA6BF5e6977d32Ce17D61826ed8bf1,8.0
0x2BA5070AAa329Ac4c4C1FDC64447FFa51aFbca56,8.0
0x162073D3bD1D3bCe47e85Ee5b9904887D1bA6e77,8.0
0x10D172F41Ea8A9e60a97DdAF86D0924aC57629eD,8.0
0x0cb27e883E207905AD2A94F9B6eF0C7A99223C37,8.0
0x053DEc775c648Ffbf6b23572Dd9Bb7B01d206Ee0,8.0
0x04500A6Fe599F592123d21B7cb224a860c3428E5,8.0
0xf852Edddc5CA3e6cA8Cee39b304425360a3bda8D,7.0
0xDeeb527b2038f90CF5BB8B578FA2Ae76df1f07db,7.0
0xd5DE6C8017AB7d3C86618fA73e9477FFfa3809A1,7.0
0xD1EC8245c8850A151843ce8a3AFdca3b19747706,7.0
0xd0057c59A091eec3C825fF73F7065020baEE3680,7.0
0xce6767356f3Fa7B758546Edb2e899adca8955Ac4,7.0
0xc5C5E2487400C5a2AA7f10cad3ec3EA22B6682cF,7.0
0xC01F6c8fc8852840b80C189A71DC60e50c9223Dc,7.0
0xbdAC55A3559549Ac78858e1409133E56Bf04D0e8,7.0
0xB0FEcff8Ab2b45778Cc022f7f0f98D0A2B0133a0,7.0
0xAb9d35B0b18CC67204C8C437639a6ecEfc58Fa41,7.0
0x81f1141D216e381d0d8F894Faa90D5A8DCC68A7b,7.0
0x812d7fbaB15adA04A69eF77221225b83D32d310C,7.0
0x67aFd790133EA65C16A1Ac0734345C5151a2a042,7.0
0x60bee18b17fa940f80D2bFDb02aD90f95BE1DbE3,7.0
0x5D3F571Bc4F54dc0a795E7d243d89867A67E03ae,7.0
0x4B74149985A02512Da853e755d581788bF235a1D,7.0
0x4b5D0456B0C9ab2f2FAcd0De19426EbBFb5390bc,7.0
0x49BB5e19F3FFb6e166c6eBb988d3a7E0AaDbFe04,7.0
0x3FE465902811769e3e8738cD162632e85dCbaA86,7.0
0x39B0F4062e0FDc5f95aE448118eBa1bc35D74c81,7.0
0x1E8C05fa1E52aDCb0B66808fa7b843d106f506D5,7.0
0x0B01168b77425d8a4Df02F794d2ceD416EC6e7d4,7.0
0x0300b5F6C596e13da55dA1bC502B9ebfB21dfA10,7.0
0xF86e8671CC14f5c38F1344fA00aa4729c1A7Fb6F,6.0
0xf43B2bE4AA887F426F05f78604b364af667C608d,6.0
0xEB0103f682Ba4013f9B990E6Ff411B71AFA73F77,6.0
0xDfC6eD58141B68ab1372553fb65903EF223f4b7d,6.0
0xDdc88F926970c28B44DC7ff6d341Ea0fAa65Ba94,6.0
0xD853fA27367980b58307f0fEc4758D223792291F,6.0
0xCC8F6631d100F599b5179a0Ce8d2F85347773a9D,6.0
0xBB8B4d64f99f714954522C3BFd21B1cB1A6DE9D8,6.0
0xafF9d30D8a6892bbBF1c5b323ED2bD8d7E85D330,6.0
0xA9fFA6B04565e9Ef06271ae636CECf466D637201,6.0
0x92E6fE03bB5d704df24b066BFd0c75f4f5b34f36,6.0
0x836353C738aEFF0bDC04e46811E2AC8617515663,6.0
0x808111829Cc95Db8A07f103E6130B80bb06dBb4E,6.0
0x790dE6f4edcc1ecc49cFd1ecBDDd320d851C4f15,6.0
0x777779D479F679Dd7a076F694d0fe00794F3bb12,6.0
0x609BC873f86678363b6DF9CDD11a2285182A0160,6.0
0x5ff85db363945E021a96dc4396795E91576b732F,6.0
0x45cD849AcaFc8D8ABD086d60a32bd9B121c7AA8C,6.0
0x0b6968E5C2c1AcD72cC355F0Db65F244EEff9957,6.0
0x0912146a577636D815e0eE675a76FcD50E1243de,6.0
0xf27C10488B579e5bcD6ec8cc2922315c2d799c6F,5.0
0xED29B129d466AF48Ae47590D005CD3A5BDDe7D27,5.0
0xe398E890B8F79D8491cd5C5299A63c3fcaDdDAA7,5.0
0xe1Da27A0EFcb1bE75fC56A0cdBeA1Ab5809D3f20,5.0
0xDa825F0Db8FD33ee860B9e29E7faeD986ef6EDe2,5.0
0xd910201439151aB8D3A2601a99b1F70347B92A3d,5.0
0xC90c028ca0E3ff44b84a923E7320803804b62519,5.0
